Timestamp,Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s],weekday,weekend,month,day,CPU usage prev,CPU_diff,received_prev,received_diff,transmitted_prev,transmitted_diff
2013-09-11 13:00:00,8422359969744,17016,45897835.76511968,6538903.054351478,42314.01704406721,53029125942.81905,4916634251.985351,791445.4831501817,499678.04065934295,904581.7510989059,324022.0813186842,12216,0.0,54972,67188,43633.676766289296,-1319.6597222222154,971506.3225274815,-66924.57142857154,317188.7336996364,6833.34761904762
2013-09-11 14:00:00,8405835022968,16996,45839315.771996684,6228614.087704032,43043.57083333351,52979320978.933304,4499654223.90916,725954.7380952367,553406.8943722969,709041.2556443547,394603.5072927095,12192,0.0,54864,67056,42899.086805555664,144.48402777777738,679354.3889776889,29686.866666666636,398074.5072927098,-3471.000000000062
2013-09-11 15:00:00,8422403953332,17016,45897835.70045868,5105682.117712207,37748.56130952388,53029114222.66666,4792891561.650427,565884.0996003998,550242.7290487316,654265.5145909619,538855.9106837641,12216,0.0,54972,67188,37725.185218254024,23.376091269839588,690142.7764957197,-35877.26190476182,543446.8249694781,-4590.91428571424
2013-09-11 16:00:00,8422425942132,17016,45897835.70276769,4815268.988743955,35831.85963203479,52983385002.81212,5070167089.232968,954860.1749472747,470020.50090465613,512214.2772893743,555662.6241758233,12216,0.0,54972,67188,36515.45030663791,-683.5906746031711,523224.94871794566,-11010.671428571415,556886.7765567758,-1224.1523809522382
2013-09-11 17:00:00,7734365655849,15598,42073016.03234884,2437698.4637378124,22207.80122897946,48549603314.13334,2193131567.6292987,561754.5857142861,442021.89056776784,254637.63423243546,264814.5712953742,11218,0.0,50481,61699,22931.504899614334,-723.7036706349213,253661.96756576834,975.6666666666644,269479.26653346955,-4664.6952380952225
2013-09-11 18:00:00,8422468129320,17016,45897835.66705472,3354583.0037304116,28496.294047619103,52964353412.26666,2393516398.080585,930076.0944444429,421358.4780219795,516856.1820512797,498717.80512820656,12216,0.0,54972,67188,27557.63998015876,938.6540674603185,515198.5582417557,1657.623809523699,501271.06703296816,-2553.2619047618114
2013-09-11 19:00:00,8422490118120,17016,45897835.70016476,2747340.3958247285,26093.938652319976,52965196201.333305,2209710214.9777765,530443.6666666662,549213.6376068391,432979.4826923053,289462.9973443268,12216,0.0,54972,67188,26645.923771367532,-551.9851190476177,415716.0398351636,17263.44285714278,280350.37353480235,9112.623809523799
2013-09-11 20:00:00,8422512106920,17016,45897835.66679573,4112918.572228348,32847.82470584986,52966494114.133316,2603035638.153307,566388.3379620382,577470.939660343,469626.3805361266,501800.3947385987,12216,0.0,54972,67188,31863.02887251654,984.7958333333306,472444.11386945983,-2817.7333333333013,505717.7280719313,-3917.3333333332607
2013-09-11 21:00:00,8422534095720,17016,45897835.69788974,3775879.944982798,30590.03562271078,52967226368.66812,2608832278.0578732,597747.433333332,552036.2077589099,416112.4313186806,460984.5838661369,12216,0.0,54972,67188,31310.107844932987,-720.0722222222204,372773.69798534684,43338.73333333331,353756.7171994706,107227.86666666662
2013-09-11 22:00:00,8422556089011,17016,45897835.75750774,6448123.412381626,43175.2596993285,52967842432.53333,4461416688.821991,607089.6239926734,787673.9701465179,338535.45391275256,222784.63413253715,12216,0.0,54972,67188,41940.97418345551,1234.2855158730158,394971.896769895,-56436.44285714295,336350.6341325381,-113566.0
